ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
12,1,博世 智能电视 Lite,NQ316,时空盒数字科技有限公司金融科技,3.2,总体来说还行，兼容性强，就是价格偏高。,2026-02-10,智能电视
3,5,博世 智能扫地机器人 Lite,GB755,惠派国际公司科技有限公司科技公司,3.6,这款智能扫地机器人一般，做工精细，但是电池寿命有点问题。,2026-01-30,智能扫地机器人
24,7,博世 智能门锁 Lite,YS535,天开信息有限公司科技公司,1.9,使用一周后出现故障，智能化程度低，售后服务也不好。,2026-01-07,智能门锁
14,7,博世 智能门锁 Lite,NQ316,时空盒数字科技有限公司金融科技,2.0,我发现，这款博世 智能门锁 Lite完全不符合预期。主要问题在于功能单一。已经申请退款了。,2025-12-09,智能门锁
11,5,博世 智能扫地机器人 Lite,PE225,襄樊地球村传媒有限公司人工智能,1.2,对这款智能扫地机器人非常不满意，安装困难，浪费钱。,2025-12-06,智能扫地机器人
29,1,博世 智能电视 Lite,NT795,襄樊地球村信息有限公司区块链技术,1.8,体验下来，这款博世 智能电视 Lite很失望。使用不到一周就出现了异常。唯一值得称赞的可能就是价格便宜。,2025-11-12,智能电视
9,8,小米 智能体重秤 Pro,GB755,惠派国际公司科技有限公司科技公司,2.7,使用一周后出现故障，操作复杂，售后服务也不好。,2025-10-25,智能体重秤
1,1,博世 智能电视 Lite,MQ931,彩虹网络有限公司移动应用开发,3.4,智能电视的质量还可以，安装方便，不过稳定性差。,2025-10-14,智能电视
2,10,格力 智能窗帘 Ultra,LJ915,恩悌信息有限公司人工智能,2.4,收到货后，这款格力 智能窗帘 Ultra不值这个价格。主要问题在于做工一般。,2025-09-23,智能窗帘
17,8,小米 智能体重秤 Pro,KX899,华成育卓科技有限公司金融科技,5.0,使用了一个月，兼容性强，没有发现任何问题。,2025-08-20,智能体重秤
10,6,海尔智慧家庭 智能空调 Basic,BX334,和泰传媒有限公司生物科技,4.7,这是我用过的最好的智能空调之一，性价比高，性价比很高。,2025-08-05,智能空调
18,3,松下 智能空调 Elite,GB755,惠派国际公司科技有限公司科技公司,2.3,这款产品有严重问题，兼容性差，已经申请退款。,2025-07-23,智能空调
20,8,小米 智能体重秤 Pro,MQ931,彩虹网络有限公司移动应用开发,4.2,这款智能体重秤质量很好，智能化程度高。总体来说很满意。,2025-06-26,智能体重秤
27,4,谷歌 智能门锁 Mini,PE225,襄樊地球村传媒有限公司人工智能,2.7,对这款智能门锁非常不满意，音质一般，浪费钱。,2025-05-12,智能门锁
5,10,格力 智能窗帘 Ultra,NQ316,时空盒数字科技有限公司金融科技,4.0,这款产品的定时功能特别好用，在家庭聚会时特别方便。,2025-05-02,智能窗帘
21,4,谷歌 智能门锁 Mini,NQ316,时空盒数字科技有限公司金融科技,4.2,这是我用过的最好的智能门锁之一，节能环保，性价比很高。,2025-04-28,智能门锁
6,6,海尔智慧家庭 智能空调 Basic,KX899,华成育卓科技有限公司金融科技,1.7,作为第一次购买这类产品的新手，这款海尔智慧家庭 智能空调 Basic存在明显缺陷。使用不到一周就出现了失灵。以后不会再考虑这个品牌的产品。,2025-04-05,智能空调
25,6,海尔智慧家庭 智能空调 Basic,VJ733,联软科技有限公司区块链技术,1.9,信号强度问题很严重，完全不值这个价格。,2025-03-26,智能空调
13,5,博世 智能扫地机器人 Lite,LJ915,恩悌信息有限公司人工智能,1.3,这款产品有严重问题，价格偏高，已经申请退款。,2025-02-26,智能扫地机器人
7,7,博世 智能门锁 Lite,AW592,精芯网络有限公司科技公司,3.7,这款智能门锁一般，稳定性好，但是连接稳定性有点问题。,2024-12-05,智能门锁
15,8,小米 智能体重秤 Pro,BX334,和泰传媒有限公司生物科技,2.2,不推荐这款智能体重秤，售后服务差，很失望。,2024-11-10,智能体重秤
26,7,博世 智能门锁 Lite,GB755,惠派国际公司科技有限公司科技公司,4.1,使用了一个月，性价比高，没有发现任何问题。,2024-11-06,智能门锁
22,5,博世 智能扫地机器人 Lite,DL852,联通时科传媒有限公司科技公司,2.3,从我的使用体验来看，这款博世 智能扫地机器人 Lite质量太差。在看电影时时完全不能正常工作。,2024-10-23,智能扫地机器人
30,6,海尔智慧家庭 智能空调 Basic,PE225,襄樊地球村传媒有限公司人工智能,4.8,这款智能空调质量很好，安装方便。总体来说很满意。,2024-10-12,智能空调
28,2,松下 智能摄像头 Lite,PE225,襄樊地球村传媒有限公司人工智能,1.4,使用一周后出现故障，画质模糊，售后服务也不好。,2024-09-15,智能摄像头
19,9,美的 智能手环 Standard,GB755,惠派国际公司科技有限公司科技公司,4.3,在看电影时时使用效果很好，特别是高清画质功能。,2024-09-10,智能手环
4,3,松下 智能空调 Elite,GB755,惠派国际公司科技有限公司科技公司,2.7,对这款智能空调非常不满意，做工一般，浪费钱。,2024-08-14,智能空调
23,5,博世 智能扫地机器人 Lite,NQ316,时空盒数字科技有限公司金融科技,2.4,我觉得，这款智能扫地机器人性价比极低。连接稳定性简直无法忍受。唯一值得称赞的可能就是送货速度快。不推荐任何人购买。,2024-07-13,智能扫地机器人
8,10,格力 智能窗帘 Ultra,AR900,九方网络有限公司虚拟现实,3.7,作为第一次购买这类产品的新手，这款格力 智能窗帘 Ultra优缺点都有。静音设计设计得比较合理。不过连接稳定性有点问题。有点贵了，但质量确实好。,2024-06-11,智能窗帘
16,1,博世 智能电视 Lite,FK682,四通网络有限公司区块链技术,4.6,这款产品的多用户管理特别好用，在家庭聚会时特别方便。,2024-04-09,智能电视
